"player_name","player_id","year","xwoba","xba","xslg","xiso","xobp","brl","brl_percent","exit_velocity","max_ev","hard_hit_percent","k_percent","bb_percent","whiff_percent","chase_percent","arm_strength","sprint_speed","oaa","bat_speed","squared_up_rate","swing_length"
"Bell, Josh","605137","2024",41,32,45,50,38,64,45,48,75,49,63,56,35,54,4,10,2,25,75,6
"Bauers, Jake","641343","2024",39,3,40,70,39,29,74,57,62,66,1,91,18,95,7,47,34,,,
"Stallings, Jacob","607732","2024",,,,,,,,,29,,,,,,,1,,,,
"Soto, Juan","665742","2024",100,99,100,100,100,99,99,98,97,99,82,100,68,99,50,34,21,94,95,52
"Robles, Victor","645302","2024",,,,,,,,,58,,,,,,95,59,63,,,
"Santander, Anthony","623993","2024",64,22,77,88,28,94,82,60,93,62,62,51,78,18,71,22,35,70,18,52
"Peralta, David","444482","2024",,,,,,,,,79,,,,,,38,41,,,,
"Burleson, Alec","676475","2024",67,87,71,59,53,64,43,61,72,57,95,18,76,16,72,11,2,36,89,31
"Machado, Manny","592518","2024",73,87,77,66,67,88,71,93,97,89,70,41,55,49,51,15,30,88,60,13
"Winn, Masyn","691026","2024",23,68,22,10,36,17,7,13,74,13,75,28,81,34,95,87,79,24,59,52
"Lewis, Royce","668904","2024",,,,,,,,,69,,,,,,43,23,,,,
"Sosa, Edmundo","624641","2024",,,,,,,,,81,,,,,,27,93,91,,,
"Duran, Ezequiel","677649","2024",,,,,,,,,80,,,,,,60,90,85,,,
"McCormick, Chas","676801","2024",,,,,,,,,63,,,,,,51,86,89,,,
"LeMahieu, DJ","518934","2024",,,,,,,,,40,,,,,,17,21,87,,,
"Diaz, Yainer","673237","2024",74,96,79,54,61,70,50,66,77,83,79,5,59,2,,47,,60,67,39
"Rendon, Anthony","543685","2024",,,,,,,,,46,,,,,,33,37,27,,,
"Martin, Austin","668885","2024",,,,,,,,,45,,,,,,66,75,3,,,
"Fitzgerald, Tyler","666149","2024",,,,,,,,,30,,,,,,31,99,77,,,
"Benson, Will","666181","2024",5,1,13,52,4,44,80,54,67,56,1,78,1,91,58,88,32,54,1,6
"Verdugo, Alex","657077","2024",37,60,36,28,46,52,29,43,67,25,84,51,92,72,94,26,40,11,97,99
"Flores, Wilmer","527038","2024",,,,,,,,,27,,,,,,4,1,,,,
"Rogers, Jake","668670","2024",,,,,,,,,27,,,,,,,43,,,,
"Grichuk, Randal","545341","2024",,,,,,,,,83,,,,,,61,58,,,,
"Ramírez, Harold","623912","2024",,,,,,,,,71,,,,,,,71,,,,
"Frazier, Adam","624428","2024",,,,,,,,,23,,,,,,69,28,32,,,
"Bruján, Vidal","660644","2024",,,,,,,,,15,,,,,,62,54,11,,,
"Urías, Ramón","602104","2024",,,,,,,,,55,,,,,,22,39,1,,,
"Gordon, Nick","624503","2024",,,,,,,,,34,,,,,,53,60,27,,,
"Lowe, Josh","666139","2024",25,20,42,55,14,42,73,73,53,75,7,51,10,26,62,81,45,71,9,72
"Hoerner, Nico","663538","2024",37,83,14,2,80,2,1,5,62,7,98,39,99,26,7,78,95,7,91,72
"Kelly, Carson","608348","2024",,,,,,,,,32,,,,,,,14,,,,
"Duran, Jarren","680776","2024",81,90,81,68,79,89,68,73,91,72,46,46,52,55,76,97,95,76,33,20
"Friedl, TJ","670770","2024",,,,,,,,,22,,,,,,45,27,18,,,
"Calhoun, Willie","641432","2024",,,,,,,,,56,,,,,,,2,,,,
"Duvall, Adam","594807","2024",15,2,45,76,2,44,75,14,87,30,5,24,29,19,69,73,69,,,
"Pillar, Kevin","607680","2024",,,,,,,,,45,,,,,,64,80,32,,,
"Torkelson, Spencer","679529","2024",8,5,21,45,6,20,41,57,47,57,18,39,37,85,3,44,20,,,
"Contreras, Willson","575929","2024",92,68,76,76,95,48,77,86,96,82,19,96,2,39,,45,,95,3,6
"Báez, Javier","595879","2024",,,,,,,,,74,,,,,,80,56,38,,,
"Hamilton, David","666152","2024",14,24,18,20,13,13,29,16,45,15,28,34,45,77,47,95,56,,,
"Drury, Brandon","592273","2024",2,4,1,5,10,5,11,21,91,27,42,50,48,67,14,21,30,,,
"Yelich, Christian","592885","2024",93,96,85,64,98,29,52,80,88,82,69,97,58,72,38,81,,,,
"Tauchman, Mike","643565","2024",56,33,32,32,84,24,41,40,64,49,57,95,63,83,43,48,,15,44,81
"Gorman, Nolan","669357","2024",41,7,69,89,9,77,98,37,72,41,1,58,1,37,16,23,8,70,1,31
"Toglia, Michael","669911","2024",91,41,94,96,71,80,98,90,71,93,4,89,5,56,5,57,9,71,14,31
"Siri, Jose","642350","2024",33,4,63,84,7,72,95,33,72,61,1,36,1,14,96,99,98,58,1,10
"Horwitz, Spencer","687462","2024",82,72,75,70,88,42,66,37,37,36,75,78,81,58,7,8,74,,,
"Garver, Mitch","641598","2024",11,1,4,43,16,29,51,63,34,45,5,97,11,96,,17,,34,48,52
"Brown, Seth","664913","2024",41,30,57,63,22,44,68,64,71,53,13,39,21,39,19,51,15,71,25,63
"Singleton, Jon","572138","2024",34,16,30,43,44,37,61,51,96,42,14,88,17,88,2,15,8,,,
"DeLuca, Jonny","676356","2024",9,23,9,9,16,9,17,4,54,9,46,39,50,6,89,98,92,,,
"Meneses, Joey","608841","2024",7,13,7,14,13,9,17,45,93,45,59,30,58,21,7,12,,,,
"O'Neill, Tyler","641933","2024",78,11,89,96,49,77,96,80,87,89,2,85,4,70,82,58,19,90,5,20
"Marte, Starling","516782","2024",75,95,70,45,79,29,48,67,71,71,38,18,28,35,91,41,2,,,
"Lowe, Brandon","664040","2024",86,64,91,92,71,60,83,75,72,80,23,61,9,39,16,43,40,74,23,72
"Semien, Marcus","543760","2024",46,60,44,36,59,61,32,19,82,20,89,63,76,70,10,80,99,10,88,13
"Sosa, Lenyn","672820","2024",36,79,52,36,22,17,29,48,67,60,50,2,73,5,31,48,14,,,
"Witt Jr., Bobby","677951","2024",98,100,98,97,96,99,93,95,99,90,89,42,64,23,78,100,100,87,79,72
"Vargas, Ildemaro","545121","2024",,,,,,,,,41,,,,,,9,35,43,,,
"Correa, Carlos","621043","2024",89,91,83,68,90,44,66,73,91,78,79,67,79,73,81,38,87,,,
"Larnach, Trevor","663616","2024",81,70,84,83,71,50,70,90,88,72,38,64,20,64,32,22,,,,
"Lee, Korey","686676","2024",1,8,19,33,1,29,45,28,60,38,5,5,1,7,,59,,42,4,63
"Nootbaar, Lars","663457","2024",85,76,78,71,90,44,63,88,90,93,62,95,78,100,79,39,81,,,
"Moreno, Gabriel","672515","2024",61,66,45,36,81,26,41,71,74,61,90,82,88,86,,50,,,,
"Crow-Armstrong, Pete","691718","2024",11,17,27,41,8,26,39,48,29,25,36,11,21,2,96,99,94,30,39,63
"Marsh, Brandon","669016","2024",65,32,56,61,62,44,63,88,62,85,3,78,30,86,73,76,78,50,53,63
"Fortes, Nick","663743","2024",,,,,,,,,51,,,,,,,32,,,,
"Campusano, Luis","669134","2024",,,,,,,,,69,,,,,,,6,,,,
"Margot, Manuel","622534","2024",47,77,40,25,54,17,28,33,75,18,87,24,70,43,18,55,13,,,
"Rengifo, Luis","650859","2024",20,68,17,5,34,2,4,16,63,16,89,12,64,10,51,39,4,,,
"Triolo, Jared","669707","2024",15,9,5,14,34,13,21,40,36,45,29,77,38,73,55,83,76,26,36,6
"Perkins, Blake","663368","2024",11,13,4,8,30,6,11,40,25,32,32,73,33,73,85,96,96,,,
"Jiménez, Eloy","650391","2024",34,55,42,38,30,37,53,89,83,89,64,27,39,22,,6,,,,
"Fermin, Freddy","666023","2024",15,45,14,8,25,6,10,29,37,18,74,28,57,34,,30,,28,60,31
"Rosario, Amed","642708","2024",17,64,29,19,11,13,19,16,46,32,55,1,51,4,76,92,4,,,
"Rojas, Johan","679032","2024",1,24,1,2,4,3,6,5,65,9,65,4,55,11,93,100,95,,,
"Realmuto, J.T.","592663","2024",77,82,80,71,62,50,66,48,51,76,37,28,41,38,,81,,74,21,20
"Kirk, Alejandro","672386","2024",51,43,36,34,59,34,43,54,86,40,92,63,90,51,,4,,,,
"Hernández, Enrique","571771","2024",5,9,11,20,8,13,18,60,85,54,60,42,67,69,47,42,75,43,65,39
"Lukes, Nathan","664770","2024",,,,,,,,,12,,,,,,,14,,,,
"White, Eli","642201","2024",,,,,,,,,9,,,,,,,92,,,,
